cid,name,type,notnull,dflt_value,pk
0,row_id,INTEGER,0,,0
1,order_id,TEXT,0,,0
2,order_date,TIMESTAMP,0,,0
3,ship_date,TIMESTAMP,0,,0
4,ship_mode,TEXT,0,,0
5,customer_id,TEXT,0,,0
6,customer_name,TEXT,0,,0
7,segment,TEXT,0,,0
8,country,TEXT,0,,0
9,city,TEXT,0,,0
10,state,TEXT,0,,0
11,postal_code,INTEGER,0,,0
12,region,TEXT,0,,0
13,product_id,TEXT,0,,0
14,category,TEXT,0,,0
15,sub_category,TEXT,0,,0
16,product_name,TEXT,0,,0
17,sales,REAL,0,,0
18,quantity,INTEGER,0,,0
19,discount,REAL,0,,0
20,profit,REAL,0,,0
