order_id,category,sub_category,sales,profit
CA-2014-115812,Technology,Phones,907.152,90.7152
CA-2014-115812,Technology,Phones,911.424,68.3568
CA-2014-143336,Technology,Phones,213.48,16.011
CA-2016-121755,Technology,Accessories,90.57,11.7741
CA-2016-117590,Technology,Phones,1097.544,123.4737
CA-2015-117415,Technology,Phones,371.168,41.7564
CA-2017-120999,Technology,Phones,147.168,16.5564
CA-2016-118255,Technology,Accessories,45.98,19.7714
CA-2016-169194,Technology,Accessories,45.0,4.95
CA-2016-169194,Technology,Phones,21.8,6.104
