order_id,order_date,sales,profit
CA-2017-114412,2017-04-15 00:00:00,15.552,5.4432
US-2017-156909,2017-07-16 00:00:00,71.372,-1.0196
CA-2017-107727,2017-10-19 00:00:00,29.472,9.9468
CA-2017-120999,2017-09-10 00:00:00,147.168,16.5564
CA-2017-139619,2017-09-19 00:00:00,95.616,9.5616
CA-2017-114440,2017-09-14 00:00:00,19.05,8.763
US-2017-118038,2017-12-09 00:00:00,1.248,-1.9344
US-2017-118038,2017-12-09 00:00:00,9.708,-5.8248
US-2017-118038,2017-12-09 00:00:00,27.24,2.724
US-2017-119662,2017-11-13 00:00:00,230.376,-48.9549
