order_id,region,category,sales,profit
CA-2017-118892,East,Furniture,4416.174,-630.882
CA-2015-117086,East,Furniture,4404.9,1013.127
US-2015-126977,East,Furniture,4228.704,158.5764
CA-2014-128209,East,Furniture,4007.84,-50.098
CA-2014-116246,East,Furniture,3785.292,420.588
US-2015-150630,East,Furniture,3083.43,-1665.0522
CA-2017-100111,East,Furniture,2888.127,609.7157
CA-2015-160227,East,Furniture,2621.322,553.3902
CA-2016-169670,East,Furniture,2563.056,313.2624
CA-2017-100111,East,Furniture,2254.41,375.735
