order_item_id,order_id,product_id,quantity,unit_price,discount
OI000001,O00001,P0053,5,16152.78,0.0
OI000002,O00001,P0046,3,23621.0,0.0
OI000003,O00001,P0067,3,29430.12,0.0
OI000004,O00002,P0087,1,2082.59,0.1
OI000005,O00002,P0096,2,2845.8,0.05
OI000006,O00002,P0106,3,29239.45,0.0
OI000007,O00002,P0044,2,22002.91,0.1
OI000008,O00003,P0024,2,9812.32,0.05
OI000010,O00003,P0088,2,16504.89,0.2
OI000011,O00004,P0027,2,5351.07,0.2
OI000012,O00004,P0030,5,7749.16,0.0
OI000013,O00004,P0026,2,12432.11,0.2
OI000014,O00005,P0016,1,14148.38,0.15
OI000015,O00006,P0079,5,3907.55,0.0
OI000016,O00006,P0001,4,5815.44,0.0
OI000017,O00006,P0098,5,16744.36,0.0
OI000018,O00006,P0110,4,10608.58,0.1
OI000022,O00008,P0068,4,1929.24,0.05
OI000023,O00009,P0005,2,29967.2,0.05
OI000024,O00009,P0065,1,20745.59,0.15
OI000025,O00009,P0045,5,22454.73,0.05
OI000027,O00009,P0111,1,19761.46,0.0
OI000028,O00010,P0049,1,22427.19,0.0
OI000030,O00011,P0024,2,9812.32,0.0
OI000031,O00011,P0071,4,1631.29,0.1
OI000032,O00011,P0034,3,29981.28,0.0
OI000033,O00012,P0064,2,12314.5,0.05
OI000034,O00012,P0055,3,20284.12,0.0
OI000035,O00013,P0036,2,8960.67,0.1
OI000037,O00013,P0024,1,9812.32,0.15
OI000038,O00013,P0074,3,23258.13,0.2
OI000039,O00014,P0072,4,23634.91,0.0
OI000040,O00014,P0056,2,26540.94,0.2
OI000043,O00016,P0115,5,2658.52,0.1
OI000045,O00017,P0039,5,22385.74,0.0
OI000046,O00017,P0033,4,20746.57,0.0
OI000047,O00017,P0072,2,23634.91,0.0
OI000048,O00017,P0110,2,10608.58,0.2
OI000049,O00018,P0061,1,11732.74,0.05
OI000050,O00018,P0108,3,27881.04,0.0
OI000051,O00018,P0081,3,15455.55,0.0
OI000052,O00019,P0072,1,23634.91,0.05
OI000053,O00019,P0120,1,20385.15,0.0
OI000054,O00019,P0104,5,25379.76,0.0
