order_id,customer_id,order_date,order_status,payment_method
O00001,C0158,2025-05-13,Delivered,UPI
O00002,C0307,2024-08-13,Delivered,UPI
O00003,C0109,2024-01-08,Delivered,Credit Card
O00004,C0168,2026-02-21,Delivered,UPI
O00005,C0221,2024-01-08,Delivered,Credit Card
O00006,C0361,2024-05-12,Delivered,Credit Card
O00008,C0380,2024-03-14,Delivered,UPI
O00009,C0040,2025-03-22,Delivered,Debit Card
O00010,C0208,2025-08-12,Delivered,Cash on Delivery
O00011,C0011,2024-10-23,Delivered,Debit Card
O00012,C0317,2024-06-24,Processing,Cash on Delivery
O00013,C0186,2026-05-01,Shipped,UPI
O00014,C0125,2025-03-23,Cancelled,Cash on Delivery
O00016,C0174,2026-06-10,Delivered,Credit Card
O00017,C0040,2024-12-07,Processing,Net Banking
O00018,C0262,2025-10-10,Delivered,Credit Card
O00019,C0373,2026-03-05,Delivered,Credit Card
O00020,C0132,2024-08-29,Delivered,Credit Card
O00022,C0322,2024-06-30,Returned,Cash on Delivery
O00023,C0390,2025-04-20,Processing,Net Banking
O00024,C0290,2025-04-04,Shipped,Net Banking
O00026,C0241,2024-06-03,Delivered,Cash on Delivery
O00027,C0141,2025-10-08,Delivered,Net Banking
O00028,C0038,2024-02-27,Delivered,Debit Card
O00029,C0030,2025-04-17,Delivered,Debit Card
O00030,C0331,2026-05-01,Delivered,UPI
O00031,C0197,2025-09-21,Delivered,Unknown
O00032,C0379,2025-08-17,Delivered,UPI
O00033,C0293,2025-04-05,Cancelled,Credit Card
O00034,C0257,2024-11-25,Delivered,Credit Card
O00035,C0176,2024-03-04,Delivered,UPI
O00036,C0021,2025-05-31,Shipped,Credit Card
O00037,C0225,2025-12-25,Delivered,Net Banking
O00038,C0187,2025-06-19,Delivered,Debit Card
O00039,C0397,2024-10-16,Delivered,Debit Card
O00040,C0324,2025-11-26,Delivered,Debit Card
O00041,C0286,2024-03-08,Delivered,Cash on Delivery
O00042,C0337,2024-10-17,Delivered,Net Banking
O00043,C0042,2026-06-13,Delivered,Net Banking
O00044,C0180,2025-11-10,Delivered,Debit Card
O00045,C0201,2025-11-02,Shipped,Credit Card
O00046,C0044,2025-09-01,Shipped,Debit Card
O00047,C0169,2025-07-26,Delivered,Credit Card
O00048,C0379,2025-11-17,Shipped,Net Banking
O00049,C0217,2024-04-05,Shipped,Net Banking
O00050,C0159,2025-01-05,Delivered,Credit Card
O00051,C0393,2024-08-07,Delivered,Cash on Delivery
O00052,C0071,2024-07-15,Delivered,Credit Card
O00053,C0052,2024-03-20,Delivered,Net Banking
O00054,C0379,2026-02-28,Delivered,Net Banking
O00055,C0393,2024-02-08,Shipped,Net Banking
O00056,C0079,2024-05-14,Delivered,Credit Card
O00057,C0395,2024-07-04,Cancelled,Net Banking
O00058,C0370,2026-04-08,Cancelled,Cash on Delivery
O00059,C0347,2024-02-14,Delivered,Credit Card
O00060,C0386,2025-03-30,Delivered,Cash on Delivery
O00061,C0159,2024-08-27,Delivered,Cash on Delivery
O00062,C0348,2026-05-05,Delivered,Net Banking
O00063,C0145,2025-03-27,Delivered,Cash on Delivery
O00064,C0083,2025-05-29,Delivered,Credit Card
O00065,C0129,2026-03-31,Delivered,UPI
O00066,C0191,2025-10-18,Delivered,Net Banking
O00067,C0265,2024-04-15,Shipped,UPI
O00068,C0083,2024-10-18,Delivered,Debit Card
O00069,C0076,2025-04-05,Cancelled,Cash on Delivery
O00070,C0114,2024-04-03,Returned,Cash on Delivery
O00071,C0014,2026-06-24,Delivered,Cash on Delivery
O00072,C0192,2024-02-24,Delivered,Credit Card
O00073,C0192,2025-01-30,Returned,Credit Card
O00074,C0051,2024-01-29,Delivered,Debit Card
O00075,C0020,2026-03-21,Delivered,Debit Card
O00076,C0072,2026-04-29,Delivered,Cash on Delivery
O00077,C0041,2025-04-04,Delivered,UPI
O00078,C0077,2024-09-19,Delivered,Net Banking
O00079,C0217,2026-01-14,Delivered,UPI
O00080,C0155,2026-03-05,Delivered,UPI
O00081,C0328,2024-02-18,Delivered,Net Banking
O00082,C0256,2025-04-13,Delivered,Net Banking
O00083,C0264,2025-07-02,Delivered,Net Banking
O00084,C0150,2024-09-04,Shipped,Cash on Delivery
O00085,C0124,2024-01-02,Delivered,Net Banking
O00086,C0343,2025-03-02,Delivered,UPI
O00087,C0035,2025-06-20,Returned,Net Banking
O00088,C0260,2025-07-11,Delivered,Net Banking
O00089,C0241,2024-01-21,Delivered,UPI
O00090,C0192,2025-10-12,Delivered,Debit Card
O00091,C0035,2026-02-04,Delivered,Debit Card
O00092,C0322,2024-09-03,Shipped,UPI
O00093,C0388,2026-03-01,Delivered,Debit Card
O00094,C0280,2024-05-16,Delivered,Debit Card
O00095,C0399,2026-04-13,Shipped,Cash on Delivery
O00096,C0094,2025-12-13,Delivered,Credit Card
O00097,C0235,2024-03-05,Shipped,UPI
O00098,C0103,2024-10-27,Delivered,UPI
O00099,C0264,2024-11-19,Cancelled,Cash on Delivery
O00100,C0130,2026-04-14,Delivered,UPI
O00101,C0147,2026-02-10,Shipped,Debit Card
O00102,C0336,2026-06-01,Processing,Debit Card
O00103,C0189,2024-10-06,Delivered,Cash on Delivery
O00104,C0226,2026-06-29,Delivered,Cash on Delivery
O00105,C0255,2024-12-13,Returned,Cash on Delivery
O00106,C0266,2025-01-11,Cancelled,Debit Card
O00107,C0218,2026-03-31,Delivered,UPI
O00108,C0093,2025-03-16,Delivered,Net Banking
O00109,C0041,2024-10-27,Delivered,Debit Card
O00110,C0229,2025-11-07,Delivered,Net Banking
O00111,C0354,2026-01-04,Delivered,Cash on Delivery
O00112,C0373,2024-12-25,Delivered,Debit Card
O00113,C0141,2025-09-21,Returned,UPI
O00114,C0208,2024-03-17,Shipped,Debit Card
O00115,C0348,2025-06-09,Processing,Credit Card
O00116,C0312,2024-02-01,Delivered,Cash on Delivery
O00117,C0121,2024-02-05,Delivered,Debit Card
O00118,C0291,2025-01-05,Delivered,UPI
O00119,C0231,2025-09-11,Delivered,Debit Card
O00120,C0040,2025-01-15,Delivered,Net Banking
O00121,C0204,2024-05-20,Delivered,Debit Card
O00122,C0059,2025-10-27,Delivered,UPI
O00123,C0266,2026-01-23,Delivered,Cash on Delivery
O00124,C0397,2025-07-29,Delivered,Debit Card
O00125,C0314,2025-12-21,Delivered,Debit Card
O00126,C0252,2025-12-11,Cancelled,Credit Card
O00127,C0038,2024-05-05,Delivered,Cash on Delivery
O00128,C0228,2024-06-25,Cancelled,UPI
O00129,C0164,2026-04-09,Shipped,Debit Card
O00130,C0278,2025-12-27,Delivered,Debit Card
O00131,C0081,2026-07-01,Delivered,Credit Card
O00132,C0115,2026-03-23,Delivered,UPI
O00133,C0122,2024-07-24,Processing,Cash on Delivery
O00134,C0294,2024-01-27,Delivered,Debit Card
O00135,C0283,2025-04-23,Processing,Credit Card
O00136,C0034,2025-09-18,Cancelled,Debit Card
O00137,C0369,2025-02-11,Returned,Cash on Delivery
O00138,C0210,2025-06-22,Delivered,Net Banking
O00139,C0163,2024-03-16,Delivered,UPI
O00140,C0265,2025-04-05,Delivered,Debit Card
O00141,C0400,2024-05-11,Cancelled,Net Banking
O00142,C0394,2025-10-17,Delivered,Credit Card
O00143,C0029,2025-03-19,Delivered,UPI
O00144,C0085,2025-06-14,Delivered,Credit Card
O00145,C0116,2024-11-26,Cancelled,Debit Card
O00146,C0041,2025-06-15,Cancelled,Debit Card
O00147,C0283,2024-07-20,Shipped,Debit Card
O00148,C0315,2024-05-08,Shipped,Net Banking
O00149,C0087,2024-04-05,Delivered,Net Banking
O00150,C0338,2025-08-17,Delivered,Net Banking
O00151,C0173,2026-01-07,Cancelled,Net Banking
O00152,C0015,2024-02-12,Cancelled,UPI
O00153,C0395,2024-02-16,Returned,Net Banking
O00154,C0393,2024-09-28,Shipped,Net Banking
O00155,C0016,2025-03-02,Delivered,Cash on Delivery
O00156,C0149,2026-06-29,Shipped,Debit Card
O00157,C0351,2025-05-09,Delivered,Cash on Delivery
O00158,C0353,2024-10-31,Delivered,UPI
O00159,C0248,2024-06-10,Delivered,Cash on Delivery
O00160,C0074,2024-07-27,Delivered,Debit Card
O00161,C0376,2026-06-01,Shipped,Debit Card
O00162,C0190,2025-02-12,Delivered,Net Banking
O00163,C0124,2025-07-29,Delivered,Cash on Delivery
O00164,C0127,2024-05-05,Delivered,Credit Card
O00165,C0197,2024-04-09,Delivered,Net Banking
O00166,C0082,2025-03-04,Delivered,Debit Card
O00167,C0098,2025-08-14,Shipped,Credit Card
O00168,C0240,2025-05-25,Returned,Cash on Delivery
O00169,C0012,2026-06-19,Delivered,UPI
O00170,C0124,2025-02-06,Delivered,Credit Card
O00171,C0026,2025-08-20,Delivered,Debit Card
O00172,C0335,2025-05-21,Delivered,Cash on Delivery
O00173,C0056,2024-10-19,Delivered,Cash on Delivery
