product_id,product_name,category,unit_price,stock_quantity
P0001,Cherian-Bath Table Lamp,Home & Kitchen,5815.44,306
P0002,Tailor Moisturizer,Beauty,25937.12,141
P0003,"Rout, Business Book",Uncategorized,28035.34,259
P0004,"Hayre, T-Shirt",Fashion,8571.23,152
P0005,Kale-Shankar Sunscreen,Beauty,29967.2,250
P0006,Nigam Table Lamp,Home & Kitchen,16212.79,176
P0007,Batra-Dasgupta Jacket,Fashion,22914.64,193
P0008,Shankar-Thaman Business Book,Books,26103.7,357
P0009,Tara Cookware Set,Home & Kitchen,11563.17,438
P0011,"Goel, Biography",Books,29653.81,405
P0012,Ram Table Lamp,Home & Kitchen,28948.95,64
P0014,Kothari-Mahal Programming Book,Books,15835.42,233
P0015,Oza-Menon Smart Watch,Electronics,12370.16,335
P0016,Deol-Devi Mixer Grinder,Home & Kitchen,14148.38,496
P0017,Vala-Mistry Sneakers,Fashion,18742.99,203
P0018,"Murthy, Power Bank",Uncategorized,25587.96,439
P0019,Mannan Perfume,Beauty,28629.69,320
P0020,Deo-Gokhale Exam Guide,Books,1192.67,35
P0021,"Naidu, Storage Box",Home & Kitchen,29923.09,382
P0022,"Srinivasan, Bluetooth Speaker",Electronics,29352.73,389
P0023,Sami-Arya Bluetooth Speaker,Electronics,5090.98,153
P0024,"Chhabra, Wireless Earbuds",Electronics,9812.32,28
P0025,Bera Sneakers,Fashion,11320.25,74
P0026,Iyengar Cookware Set,Home & Kitchen,12432.11,349
P0027,Mangat Water Bottle,Home & Kitchen,5351.07,312
P0028,Dhingra-Bhatia Exam Guide,Books,20532.06,254
P0029,"Merchant, Moisturizer",Beauty,7057.79,326
P0030,Sethi-Chaudry Backpack,Fashion,7749.16,4
P0031,"Kapur, Business Book",Books,20367.01,80
P0032,"Mani, Bluetooth Speaker",Electronics,28363.64,300
P0033,Saha-Munshi Backpack,Fashion,20746.57,233
P0034,"Bhagat, Jeans",Fashion,29981.28,436
P0035,Savant Programming Book,Books,7207.71,292
P0036,"Pillai, Jacket",Fashion,8960.67,358
P0037,Sen-Goel T-Shirt,Fashion,29340.98,337
P0038,"Borde, Business Book",Books,361.97,442
P0039,"Varkey, Keyboard",Electronics,22385.74,426
P0040,Sangha Jeans,Fashion,18259.1,180
P0041,"Lalla, Water Bottle",Home & Kitchen,18672.23,347
P0042,"Kumer, Mixer Grinder",Home & Kitchen,27113.7,330
P0043,Dubey-Baral Power Bank,Electronics,23683.68,17
P0044,Naidu Shampoo,Beauty,22002.91,46
P0045,Mitra Sneakers,Fashion,22454.73,89
P0046,"Parmar, Water Bottle",Home & Kitchen,23621.0,448
P0047,"Kannan, Jacket",Fashion,15113.63,139
P0048,Tiwari Storage Box,Home & Kitchen,27431.78,483
P0049,Yadav-Raval Business Book,Books,22427.19,173
P0050,Palla Bluetooth Speaker,Electronics,28891.25,72
P0051,Narula Table Lamp,Home & Kitchen,29022.02,411
P0052,Memon-Kamdar Shampoo,Beauty,2818.25,202
P0053,"Wali, Power Bank",Electronics,16152.78,232
P0054,Pal Sneakers,Fashion,17586.66,421
P0055,Kohli T-Shirt,Fashion,20284.12,241
P0056,"Nagi, Keyboard",Electronics,26540.94,287
