
Report: Retention

| cohort_month   |   month_number |   cohort_size |   retained_customers |   retention_percent |
|----------------|----------------|---------------|----------------------|---------------------|
| 2026-07        |              0 |             1 |                    1 |              100.00 |
| 2026-06        |              0 |             4 |                    4 |              100.00 |
| 2026-05        |              0 |             1 |                    1 |              100.00 |
| 2026-04        |              0 |             2 |                    2 |              100.00 |
| 2026-03        |              0 |             2 |                    2 |              100.00 |
| 2026-02        |              0 |             5 |                    5 |              100.00 |
| 2026-02        |              1 |             5 |                    1 |               20.00 |
| 2026-01        |              0 |             7 |                    7 |              100.00 |
| 2026-01        |              1 |             7 |                    2 |               28.57 |
| 2026-01        |              2 |             7 |                    1 |               14.29 |
| 2026-01        |              4 |             7 |                    1 |               14.29 |
| 2025-12        |              0 |             3 |                    3 |              100.00 |
| 2025-11        |              0 |             7 |                    7 |              100.00 |
| 2025-11        |              2 |             7 |                    1 |               14.29 |
| 2025-11        |              3 |             7 |                    1 |               14.29 |

Rows displayed: 15
