
Report: Revenue

| month   |      revenue |
|---------|--------------|
| 2024-01 | 3,368,839.23 |
| 2024-02 | 4,418,777.16 |
| 2024-03 | 3,806,301.76 |
| 2024-04 | 3,414,752.60 |
| 2024-05 | 5,764,237.98 |
| 2024-06 | 3,809,264.73 |
| 2024-07 | 3,365,731.44 |
| 2024-08 | 4,234,034.76 |
| 2024-09 | 2,701,604.83 |
| 2024-10 | 3,973,156.41 |
| 2024-11 | 2,267,448.74 |
| 2024-12 | 2,735,852.22 |
| 2025-01 | 3,670,530.83 |
| 2025-02 | 3,215,670.63 |
| 2025-03 | 4,485,449.28 |
| 2025-04 | 3,665,638.74 |
| 2025-05 | 4,150,681.25 |
| 2025-06 | 4,694,696.78 |
| 2025-07 | 5,191,626.90 |
| 2025-08 | 3,258,520.79 |
| 2025-09 | 3,645,049.06 |
| 2025-10 | 3,887,481.94 |
| 2025-11 | 2,882,487.97 |
| 2025-12 | 3,324,319.17 |
| 2026-01 | 3,425,927.61 |
| 2026-02 | 3,758,136.21 |
| 2026-03 | 3,999,685.09 |
| 2026-04 | 3,736,240.55 |
| 2026-05 | 2,930,823.50 |
| 2026-06 | 3,993,451.39 |
| 2026-07 |   941,356.49 |

Rows displayed: 31
