month,revenue
2024-01,3368839.23
2024-02,4418777.16
2024-03,3806301.76
2024-04,3414752.6
2024-05,5764237.98
2024-06,3809264.73
2024-07,3365731.44
2024-08,4234034.76
2024-09,2701604.83
2024-10,3973156.41
2024-11,2267448.74
2024-12,2735852.22
2025-01,3670530.83
2025-02,3215670.63
2025-03,4485449.28
2025-04,3665638.74
2025-05,4150681.25
2025-06,4694696.78
2025-07,5191626.9
2025-08,3258520.79
2025-09,3645049.06
2025-10,3887481.94
2025-11,2882487.97
2025-12,3324319.17
2026-01,3425927.61
2026-02,3758136.21
2026-03,3999685.09
2026-04,3736240.55
2026-05,2930823.5
2026-06,3993451.39
2026-07,941356.49
