Report: Revenue

| month   |          revenue |
|---------|------------------|
| 2024-01 |      3.36884e+06 |
| 2024-02 |      4.41878e+06 |
| 2024-03 |      3.8063e+06  |
| 2024-04 |      3.41475e+06 |
| 2024-05 |      5.76424e+06 |
| 2024-06 |      3.80926e+06 |
| 2024-07 |      3.36573e+06 |
| 2024-08 |      4.23403e+06 |
| 2024-09 |      2.7016e+06  |
| 2024-10 |      3.97316e+06 |
| 2024-11 |      2.26745e+06 |
| 2024-12 |      2.73585e+06 |
| 2025-01 |      3.67053e+06 |
| 2025-02 |      3.21567e+06 |
| 2025-03 |      4.48545e+06 |
| 2025-04 |      3.66564e+06 |
| 2025-05 |      4.15068e+06 |
| 2025-06 |      4.6947e+06  |
| 2025-07 |      5.19163e+06 |
| 2025-08 |      3.25852e+06 |
| 2025-09 |      3.64505e+06 |
| 2025-10 |      3.88748e+06 |
| 2025-11 |      2.88249e+06 |
| 2025-12 |      3.32432e+06 |
| 2026-01 |      3.42593e+06 |
| 2026-02 |      3.75814e+06 |
| 2026-03 |      3.99969e+06 |
| 2026-04 |      3.73624e+06 |
| 2026-05 |      2.93082e+06 |
| 2026-06 |      3.99345e+06 |
| 2026-07 | 941356           |
