product_name,category,quantity_sold,revenue
Keer Sneakers,Fashion,94,2493652.58
"Kumer, Mixer Grinder",Home & Kitchen,82,2056574.15
Mannan Perfume,Beauty,77,2045591.35
"Nagi, Keyboard",Electronics,81,2023746.67
"Srinivasan, Bluetooth Speaker",Electronics,70,1921136.18
"Goel, Biography",Books,69,1888947.7
"Mani, Bluetooth Speaker",Electronics,70,1863491.15
"Naidu, Storage Box",Home & Kitchen,64,1792393.09
"Dani, Storage Box",Home & Kitchen,80,1760640.44
Sharaf T-Shirt,Fashion,63,1748149.13
Sen-Goel T-Shirt,Fashion,61,1670968.81
Yadav-Raval Business Book,Books,78,1621485.84
Kale-Shankar Sunscreen,Beauty,58,1609238.64
"Ramesh, Biography",Books,83,1578506.16
Ram Table Lamp,Home & Kitchen,59,1560348.41
Bose-Borra Keyboard,Electronics,60,1551579.88
Agrawal Business Book,Books,62,1535379.48
Ravel-Sant Water Bottle,Home & Kitchen,70,1501998.53
Chawla-Jha T-Shirt,Fashion,77,1492645.2
Kade-Padmanabhan Programming Book,Books,60,1469610.4
